Feature,Counts,ImportanceScore,Rank
c12:0_lauric_acid-whole_body-FAME-percentage,9,0.005899,71.0
c18:4n3_stearidonic_acid-whole_body-FAME-g/100g,7,0.005834,72.0
c15:0_pentadecanoic_acid-whole_body-FAME-g/100g,8,0.005779,73.0
c20:4n6_arachidonic_acid-whole_body-FAME-g/100g,8,0.00575,74.0
c14:0_myristic_acid-whole_body-FAME-percentage,9,0.005657,75.0
c13:0_tridecanoic_acid-whole_body-FAME-g/100g,10,0.005597,76.0
c11:0_undecanoic_acid-whole_body-FAME-percentage,8,0.005513,77.0
kjeldahl-whole_body-nir-mg/kg,8,0.005502,78.0
c11:0_undecanoic_acid-whole_body-FAME-g/100g,7,0.005388,79.0
c22:0_behenic_acid-whole_body-FAME-g/100g,8,0.005363,80.0
c16:1_palmitoleic_acid-whole_body-FAME-percentage,7,0.005225,81.0
c24:1_nervonic_acid-whole_body-FAME-percentage,6,0.004985,82.0
c20:3n6_cis_8_11_14_eicosatrienoic_acid-whole_body-FAME-g/100g,9,0.00493,83.0
c18:3n3_alpha_linolenic_acid-whole_body-FAME-percentage,7,0.00467,84.0
c22:5n3_docosapentaenoic_acid-whole_body-FAME-percentage,8,0.004593,85.0
c18:2t_linolelaidic_acid-whole_body-FAME-g/100g,5,0.004592,86.0
omega_3-fillet-nir-g/100g,2,0.004571,87.0
c20:0_arachidic_acid-whole_body-FAME-g/100g,7,0.004547,88.0
c18:3n6_gamma_linolenic-whole_body-FAME-percentage,5,0.004517,89.0
c18:1n7_vaccenic_acid-whole_body-FAME-percentage,8,0.004486,90.0
c20:4n3_eicosatetraenoic_acid-whole_body-FAME-percentage,8,0.00427,91.0
c16:2n4_hexadecadienoic_acid-whole_body-FAME-percentage,6,0.004226,92.0
c10:0_capric_acid-whole_body-FAME-g/100g,7,0.004151,93.0
satiation_ration,9,0.004129,94.0
c20:0_arachidic_acid-whole_body-FAME-percentage,8,0.003977,95.0
calcium-whole_body-ICP-MS-mg/kg,6,0.003975,96.0
fat-fillet-nir-g/100g,7,0.00397,97.0
c20:2_eicosadienoic_acid-whole_body-FAME-g/100g,5,0.003951,98.0
ash-whole_body-wet_chemistry-g/100g,7,0.003865,99.0
c8:0_caprylic_acid-whole_body-FAME-percentage,5,0.003811,100.0
c8:0_caprylic_acid-whole_body-FAME-g/100g,6,0.003807,101.0
c20:3n3_cis_11_14_17_eicosatrienoic_acid-whole_body-FAME-g/100g,7,0.00374,102.0
ash-whole_body-nir-g/100g,7,0.003683,103.0
c20:3n6_cis_8_11_14_eicosatrienoic_acid-whole_body-FAME-percentage,5,0.003588,104.0
c22:6n3_docosahexaenoic_acid-fillet-nir-g/100g,5,0.003521,105.0
saturated_fatty_acids-fillet-nir-g/100g,5,0.003337,106.0
c4:0_butyric_acid-whole_body-FAME-percentage,6,0.00333,107.0
c18:4n3_stearidonic_acid-whole_body-FAME-percentage,3,0.003225,108.0
kjeldahl-whole_body-wet_chemistry-mg/kg,4,0.003185,109.0
c15:0_pentadecanoic_acid-whole_body-FAME-percentage,7,0.003176,110.0
c22:6n3_docosahexaenoic_acid-whole_body-FAME-percentage,6,0.003071,111.0
c10:0_capric_acid-whole_body-FAME-percentage,5,0.002971,112.0
c20:5n3_eicosapentaenoic_acid-fillet-nir-g/100g,4,0.002888,113.0
c22:6n3_docosahexaenoic_acid-whole_body-FAME-g/100g,5,0.002553,114.0
crude_protein-whole_body-nir-g/100g,5,0.002108,115.0
c18:1n9c_oleic_acid-whole_body-FAME-percentage,4,0.001677,116.0
