"","pit_tag_number","observable","value","method","collection","unit","event","trial"
"45","0840088000649519","leucocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"46","0840088000649519","thick_buffy_coat","y","haematology","blood_analyses","logical","WT7","salmon_trial_1"
"47","0840088000649519","thrombocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"48","0840088000649519","buffy_coat_thickness","~0.5","haematology","blood_analyses","mm","WT7","salmon_trial_1"
"49","0840088000649539","colour","clear","plasma","blood_analyses",NA,"WT14","salmon_trial_1"
"50","0840088000649539","leucocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"51","0840088000649539","erythrocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"52","0840088000649539","thrombocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"53","0840088000649539","thick_buffy_coat","y","haematology","blood_analyses","logical","WT14","salmon_trial_1"
"54","0840088000649539","buffy_coat_thickness","1_to_1.5","haematology","blood_analyses","mm","WT14","salmon_trial_1"
"55","0840088000649705","buffy_coat_thickness","0.5_to_1","haematology","blood_analyses","mm","WT7","salmon_trial_1"
"56","0840088000649705","thrombocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"57","0840088000649705","erythrocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"58","0840088000649705","leucocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"59","0840088000649705","thick_buffy_coat","y","haematology","blood_analyses","logical","WT7","salmon_trial_1"
"60","0840088000649705","colour","normal","plasma","blood_analyses",NA,"WT7","salmon_trial_1"
"61","0840088000649742","thrombocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"62","0840088000649742","leucocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"63","0840088000649742","thick_buffy_coat","y","haematology","blood_analyses","logical","WT7","salmon_trial_1"
"64","0840088000649742","erythrocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"65","0840088000649742","buffy_coat_thickness","0.5_to_1","haematology","blood_analyses","mm","WT7","salmon_trial_1"
"66","0840088000649742","colour","normal","plasma","blood_analyses",NA,"WT7","salmon_trial_1"
"67","0840088000649770","buffy_coat_thickness","0_to_0.5","haematology","blood_analyses","mm","WT7","salmon_trial_1"
"68","0840088000649770","erythrocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"69","0840088000649770","thrombocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"70","0840088000649770","colour","normal","plasma","blood_analyses",NA,"WT7","salmon_trial_1"
"71","0840088000649770","thick_buffy_coat","y","haematology","blood_analyses","logical","WT7","salmon_trial_1"
"72","0840088000649770","leucocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"73","0840088000649922","colour","clear","plasma","blood_analyses",NA,"WT14","salmon_trial_1"
"74","0840088000649922","thick_buffy_coat","n","haematology","blood_analyses","logical","WT14","salmon_trial_1"
"75","0840088000649922","thrombocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"76","0840088000649922","erythrocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"77","0840088000649922","leucocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"78","0840088000649922","buffy_coat_thickness","0.5_to_1","haematology","blood_analyses","mm","WT14","salmon_trial_1"
"79","0840088000650024","thick_buffy_coat","y","haematology","blood_analyses","logical","WT7","salmon_trial_1"
"80","0840088000650024","leucocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"81","0840088000650024","erythrocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"82","0840088000650024","thrombocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"83","0840088000650024","colour","normal","plasma","blood_analyses",NA,"WT7","salmon_trial_1"
"84","0840088000650024","buffy_coat_thickness","~0.5","haematology","blood_analyses","mm","WT7","salmon_trial_1"
"85","0840088000650072","thrombocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"86","0840088000650072","colour","normal","plasma","blood_analyses",NA,"WT14","salmon_trial_1"
"87","0840088000650072","leucocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"88","0840088000650072","erythrocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"89","0840088000650072","buffy_coat_thickness","0_to_0.5","haematology","blood_analyses","mm","WT14","salmon_trial_1"
"90","0840088000650072","thick_buffy_coat","n","haematology","blood_analyses","logical","WT14","salmon_trial_1"
"91","0840088000650077","buffy_coat_thickness","0.5_to_1","haematology","blood_analyses","mm","WT7","salmon_trial_1"
"92","0840088000650077","thick_buffy_coat","y","haematology","blood_analyses","logical","WT7","salmon_trial_1"
"93","0840088000650077","erythrocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"94","0840088000650077","colour","normal","plasma","blood_analyses",NA,"WT7","salmon_trial_1"
"95","0840088000650077","thrombocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"96","0840088000650077","leucocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"97","0840088000650343","thrombocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"98","0840088000650343","buffy_coat_thickness","0_to_0.5","haematology","blood_analyses","mm","WT14","salmon_trial_1"
"99","0840088000650343","colour","normal","plasma","blood_analyses",NA,"WT14","salmon_trial_1"
"100","0840088000650343","thick_buffy_coat","n","haematology","blood_analyses","logical","WT14","salmon_trial_1"
"101","0840088000650343","erythrocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"102","0840088000650343","leucocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"103","0840088000650694","buffy_coat_thickness","0.5_to_1","haematology","blood_analyses","mm","WT14","salmon_trial_1"
"104","0840088000650694","colour","clear","plasma","blood_analyses",NA,"WT14","salmon_trial_1"
"105","0840088000650694","leucocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"106","0840088000650694","thrombocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"107","0840088000650694","thick_buffy_coat","n","haematology","blood_analyses","logical","WT14","salmon_trial_1"
"108","0840088000650694","erythrocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"109","0840088000650923","leucocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"110","0840088000650923","buffy_coat_thickness","~1","haematology","blood_analyses","mm","WT14","salmon_trial_1"
"111","0840088000650923","thrombocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"112","0840088000650923","colour","clear","plasma","blood_analyses",NA,"WT14","salmon_trial_1"
"113","0840088000650923","erythrocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"114","0900008800749504","erythrocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"115","0900008800749504","colour","normal","plasma","blood_analyses",NA,"WT7","salmon_trial_1"
"116","0900008800749504","leucocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"117","0900008800749504","thick_buffy_coat","y","haematology","blood_analyses","logical","WT7","salmon_trial_1"
"118","0900008800749504","thrombocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"119","0900008800749504","buffy_coat_thickness","~0.5","haematology","blood_analyses","mm","WT7","salmon_trial_1"
"120","0900008800749514","colour","normal","plasma","blood_analyses",NA,"WT7","salmon_trial_1"
"121","0900008800749514","erythrocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"122","0900008800749514","thick_buffy_coat","y","haematology","blood_analyses","logical","WT7","salmon_trial_1"
"123","0900008800749514","leucocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"124","0900008800749514","thrombocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"125","0900008800749514","buffy_coat_thickness","0.5_to_1","haematology","blood_analyses","mm","WT7","salmon_trial_1"
"126","0900008800749535","buffy_coat_thickness","~1","haematology","blood_analyses","mm","WT7","salmon_trial_1"
"127","0900008800749535","thrombocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"128","0900008800749535","erythrocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"129","0900008800749535","thick_buffy_coat","y","haematology","blood_analyses","logical","WT7","salmon_trial_1"
"130","0900008800749535","colour","normal","plasma","blood_analyses",NA,"WT7","salmon_trial_1"
"131","0900008800749535","leucocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"132","0900008800749633","thick_buffy_coat","n","haematology","blood_analyses","logical","WT14","salmon_trial_1"
"133","0900008800749633","leucocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"134","0900008800749633","thrombocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"135","0900008800749633","colour","clear","plasma","blood_analyses",NA,"WT14","salmon_trial_1"
"136","0900008800749633","erythrocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"137","0900008800749633","buffy_coat_thickness","0.5_to_1","haematology","blood_analyses","mm","WT14","salmon_trial_1"
"138","0900008800749643","buffy_coat_thickness","n/a","haematology","blood_analyses","mm","WT14","salmon_trial_1"
"139","0900008800749643","leucocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"140","0900008800749643","erythrocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"141","0900008800749643","colour","normal","plasma","blood_analyses",NA,"WT14","salmon_trial_1"
"142","0900008800749643","thick_buffy_coat","n","haematology","blood_analyses","logical","WT14","salmon_trial_1"
"143","0900008800749643","thrombocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"144","0900008800749680","thrombocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"145","0900008800749680","colour","normal","plasma","blood_analyses",NA,"WT7","salmon_trial_1"
"146","0900008800749680","buffy_coat_thickness","~0.5","haematology","blood_analyses","mm","WT7","salmon_trial_1"
"147","0900008800749680","erythrocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"148","0900008800749680","leucocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"149","0900008800749680","thick_buffy_coat","y","haematology","blood_analyses","logical","WT7","salmon_trial_1"
"150","0900008800749689","leucocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"151","0900008800749689","erythrocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"152","0900008800749689","colour","normal","plasma","blood_analyses",NA,"WT7","salmon_trial_1"
"153","0900008800749689","thick_buffy_coat","y","haematology","blood_analyses","logical","WT7","salmon_trial_1"
"154","0900008800749689","thrombocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"155","0900008800749689","buffy_coat_thickness","~1","haematology","blood_analyses","mm","WT7","salmon_trial_1"
"156","0900008800749696","leucocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"157","0900008800749696","erythrocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"158","0900008800749696","colour","clear","plasma","blood_analyses",NA,"WT14","salmon_trial_1"
"159","0900008800749696","buffy_coat_thickness","~0.5","haematology","blood_analyses","mm","WT14","salmon_trial_1"
"160","0900008800749696","thrombocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"161","0900008800749696","thick_buffy_coat","n","haematology","blood_analyses","logical","WT14","salmon_trial_1"
"162","0900008800749750","buffy_coat_thickness","0.5to1","haematology","blood_analyses","mm","WT7","salmon_trial_1"
"163","0900008800749750","colour","normal","plasma","blood_analyses",NA,"WT7","salmon_trial_1"
"164","0900008800749750","erythrocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"165","0900008800749750","thrombocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"166","0900008800749750","leucocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"167","0900008800749750","thick_buffy_coat","y","haematology","blood_analyses","logical","WT7","salmon_trial_1"
"168","0900008800749799","colour","clear","plasma","blood_analyses",NA,"WT14","salmon_trial_1"
"169","0900008800749799","leucocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"170","0900008800749799","erythrocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"171","0900008800749799","thrombocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"172","0900008800749799","buffy_coat_thickness","0.5_to_1","haematology","blood_analyses","mm","WT14","salmon_trial_1"
"173","0900008800749807","thick_buffy_coat","y","haematology","blood_analyses","logical","WT7","salmon_trial_1"
"174","0900008800749807","thrombocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"175","0900008800749807","erythrocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"176","0900008800749807","buffy_coat_thickness","~0.5","haematology","blood_analyses","mm","WT7","salmon_trial_1"
"177","0900008800749807","colour","normal","plasma","blood_analyses",NA,"WT7","salmon_trial_1"
"178","0900008800749807","leucocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"179","0900008800749819","thrombocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"180","0900008800749819","colour","clear","plasma","blood_analyses",NA,"WT14","salmon_trial_1"
"181","0900008800749819","leucocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"182","0900008800749819","thick_buffy_coat","n","haematology","blood_analyses","logical","WT14","salmon_trial_1"
"183","0900008800749819","erythrocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"184","0900008800749819","buffy_coat_thickness","0.5_to_1","haematology","blood_analyses","mm","WT14","salmon_trial_1"
"185","0900008800749846","thrombocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"186","0900008800749846","erythrocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"187","0900008800749846","colour","normal","plasma","blood_analyses",NA,"WT7","salmon_trial_1"
"188","0900008800749846","buffy_coat_thickness","~0.5","haematology","blood_analyses","mm","WT7","salmon_trial_1"
"189","0900008800749846","thick_buffy_coat","y","haematology","blood_analyses","logical","WT7","salmon_trial_1"
"190","0900008800749846","leucocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"191","0900008800749850","buffy_coat_thickness","~0.5","haematology","blood_analyses","mm","WT7","salmon_trial_1"
"192","0900008800749850","colour","normal","plasma","blood_analyses",NA,"WT7","salmon_trial_1"
"193","0900008800749850","erythrocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"194","0900008800749850","thrombocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"195","0900008800749850","leucocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"196","0900008800749850","thick_buffy_coat","y","haematology","blood_analyses","logical","WT7","salmon_trial_1"
"197","0900008800749851","buffy_coat_thickness","0_to_0.5","haematology","blood_analyses","mm","WT7","salmon_trial_1"
"198","0900008800749851","erythrocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"199","0900008800749851","thick_buffy_coat","y","haematology","blood_analyses","logical","WT7","salmon_trial_1"
"200","0900008800749851","colour","normal","plasma","blood_analyses",NA,"WT7","salmon_trial_1"
"201","0900008800749851","leucocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"202","0900008800749851","thrombocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"203","0900008800749858","thick_buffy_coat","n","haematology","blood_analyses","logical","WT14","salmon_trial_1"
"204","0900008800749858","erythrocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"205","0900008800749858","thrombocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"206","0900008800749858","colour","clear","plasma","blood_analyses",NA,"WT14","salmon_trial_1"
"207","0900008800749858","leucocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"208","0900008800749858","buffy_coat_thickness","~1","haematology","blood_analyses","mm","WT14","salmon_trial_1"
"209","0900008800749864","buffy_coat_thickness","0.5_to_1","haematology","blood_analyses","mm","WT14","salmon_trial_1"
"210","0900008800749864","colour","clear","plasma","blood_analyses",NA,"WT14","salmon_trial_1"
"211","0900008800749864","erythrocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"212","0900008800749864","leucocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"213","0900008800749864","thick_buffy_coat","n","haematology","blood_analyses","logical","WT14","salmon_trial_1"
"214","0900008800749864","thrombocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"215","0900008800749909","erythrocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"216","0900008800749909","colour","clear","plasma","blood_analyses",NA,"WT14","salmon_trial_1"
"217","0900008800749909","leucocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"218","0900008800749909","thrombocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"219","0900008800749909","buffy_coat_thickness","0.5_to_1","haematology","blood_analyses","mm","WT14","salmon_trial_1"
"220","0900008800749909","thick_buffy_coat","n","haematology","blood_analyses","logical","WT14","salmon_trial_1"
"221","0900008800749958","thrombocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"222","0900008800749958","thick_buffy_coat","y","haematology","blood_analyses","logical","WT7","salmon_trial_1"
"223","0900008800749958","buffy_coat_thickness","0.5_to_1","haematology","blood_analyses","mm","WT7","salmon_trial_1"
"224","0900008800749958","leucocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"225","0900008800749958","erythrocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"226","0900008800749958","colour","normal","plasma","blood_analyses",NA,"WT7","salmon_trial_1"
"227","0900008800749962","leucocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"228","0900008800749962","colour","clear","plasma","blood_analyses",NA,"WT14","salmon_trial_1"
"229","0900008800749962","thrombocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"230","0900008800749962","erythrocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"231","0900008800749962","thick_buffy_coat","n","haematology","blood_analyses","logical","WT14","salmon_trial_1"
"232","0900008800749962","buffy_coat_thickness","0.5_to_1","haematology","blood_analyses","mm","WT14","salmon_trial_1"
"233","0900008800749978","erythrocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"234","0900008800749978","buffy_coat_thickness","~0.5","haematology","blood_analyses","mm","WT7","salmon_trial_1"
"235","0900008800749978","thick_buffy_coat","y","haematology","blood_analyses","logical","WT7","salmon_trial_1"
"236","0900008800749978","thrombocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"237","0900008800749978","leucocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"238","0900008800749978","colour","normal","plasma","blood_analyses",NA,"WT7","salmon_trial_1"
"239","0900008800749991","leucocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"240","0900008800749991","thrombocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"241","0900008800749991","erythrocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"242","0900008800749991","thick_buffy_coat","n","haematology","blood_analyses","logical","WT14","salmon_trial_1"
"243","0900008800749991","colour","clear","plasma","blood_analyses",NA,"WT14","salmon_trial_1"
"244","0900008800749991","buffy_coat_thickness","0.5_to_1","haematology","blood_analyses","mm","WT14","salmon_trial_1"
"245","0900008800750005","erythrocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"246","0900008800750005","thick_buffy_coat","y","haematology","blood_analyses","logical","WT14","salmon_trial_1"
"247","0900008800750005","thrombocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"248","0900008800750005","colour","normal","plasma","blood_analyses",NA,"WT14","salmon_trial_1"
"249","0900008800750005","leucocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"250","0900008800750005","buffy_coat_thickness","0_to_0.5","haematology","blood_analyses","mm","WT14","salmon_trial_1"
"251","0900008800750016","thick_buffy_coat","y","haematology","blood_analyses","logical","WT7","salmon_trial_1"
"252","0900008800750016","thrombocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"253","0900008800750016","colour","normal","plasma","blood_analyses",NA,"WT7","salmon_trial_1"
"254","0900008800750016","buffy_coat_thickness","~0.5","haematology","blood_analyses","mm","WT7","salmon_trial_1"
"255","0900008800750016","erythrocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"256","0900008800750016","leucocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"257","0900008800750075","colour","normal","plasma","blood_analyses",NA,"WT7","salmon_trial_1"
"258","0900008800750075","buffy_coat_thickness","~0.5","haematology","blood_analyses","mm","WT7","salmon_trial_1"
"259","0900008800750075","erythrocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"260","0900008800750075","thick_buffy_coat","y","haematology","blood_analyses","logical","WT7","salmon_trial_1"
"261","0900008800750075","thrombocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"262","0900008800750075","leucocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"263","0900008800750081","thick_buffy_coat","y","haematology","blood_analyses","logical","WT7","salmon_trial_1"
"264","0900008800750081","buffy_coat_thickness","~0.5","haematology","blood_analyses","mm","WT7","salmon_trial_1"
"265","0900008800750081","thrombocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"266","0900008800750081","leucocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"267","0900008800750081","erythrocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"268","0900008800750081","colour","normal","plasma","blood_analyses",NA,"WT7","salmon_trial_1"
"269","0900008800750082","thick_buffy_coat","y","haematology","blood_analyses","logical","WT7","salmon_trial_1"
"270","0900008800750082","buffy_coat_thickness","0.5_to_1","haematology","blood_analyses","mm","WT7","salmon_trial_1"
"271","0900008800750082","thrombocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
